Ligand name	Exp. dG (kcal/mol)	FEP+_RBFEP_predict_dG_kcal/mol	FEP+_RBFEP_predict_dG_stderr_kcal/mol
CAT-13n	-8.543000221	-7.679999828	0.079999998
CAT-13e	-9.963000298	-10.52000046	0.079999998
CAT-4a	-7.933000088	-8.670000076	0.090000004
CAT-4m	-9.152999878	-9.050000191	0.079999998
CAT-17b	-10.02299976	-8.819999695	0.079999998
CAT-13j	-8.732999802	-9.069999695	0.090000004
CAT-13d	-10.47299957	-10.63000011	0.079999998
CAT-13b	-9.123000145	-9.630000114	0.079999998
CAT-13a	-8.843000412	-9.279999733	0.079999998
CAT-13h	-9.633000374	-9.390000343	0.079999998
CAT-13o	-8.543000221	-9.43999958	0.079999998
CAT-13g	-9.093000412	-9.319999695	0.090000004
CAT-4k	-7.853000164	-7.849999905	0.090000004
CAT-17g	-9.743000031	-9.010000229	0.079999998
CAT-4l	-9.343000412	-7.170000076	0.090000004
CAT-4j	-9.022999763	-8.319999695	0.079999998
CAT-4n	-9.093000412	-9.319999695	0.090000004
CAT-13i	-9.272999763	-10.76000023	0.079999998
CAT-17f	-9.423000336	-9.739999771	0.090000004
CAT-4p	-10.08300018	-9.609999657	0.100000001
CAT-13c	-9.322999954	-9.630000114	0.079999998
CAT-24	-11.35000038	-10.78999996	0.079999998
CAT-4i	-8.262999535	-8.630000114	0.090000004
CAT-4c	-7.853000164	-7.980000019	0.090000004
CAT-17i	-9.472999573	-9.340000153	0.079999998
CAT-13k	-9.703000069	-10.51000023	0.090000004
CAT-17a	-10.7329998	-11.35000038	0.079999998
CAT-17c	-9.862999916	-10.02999973	0.090000004
CAT-4o	-9.383000374	-8.68999958	0.079999998
CAT-17d	-9.423000336	-8.359999657	0.079999998
CAT-4b	-9.633000374	-9.260000229	0.090000004
CAT-13f	-9.093000412	-9.529999733	0.079999998
CAT-4d	-9.112999916	-8.960000038	0.090000004
CAT-13m	-8.762999535	-10.5	0.079999998
CAT-17h	-10.33300018	-10.26000023	0.079999998
CAT-17e	-10.02299976	-9.119999886	0.079999998
